"","ZipCode","Population","HouseholdsPerZipCode","PersonsPerHousehold","AverageHouseValue","IncomePerHousehold","Latitude","Longitude","CountyName","popden","electricity(kWh)","Nat.Gas(cu.ft.)","FUELOIL(gallons)","Vehiclemilestraveled","Transport(tCO2e/yr)","incomelevels","stoplevels","distance","number_of_stops"
"1","90001",54481,"13302","4.35",138900,24207,33.974243,-118.245169,"LOSANGELES"," 15,688 "," 6,136 "," 6,136 "," 6,136 "," 15,862 ",10.22,"$0-$40K","51-75","within1km",59
"2","90002",44584,"11838","4.16",127700,22872,33.94938,-118.24506,"LOSANGELES"," 14,677 "," 6,566 "," 6,566 "," 6,566 "," 15,536 ",10.02,"$0-$40K","51-75","within1km",72
"3","90003",58187,"16071","4",134400,22346,33.963792,-118.274249,"LOSANGELES"," 16,441 "," 6,299 "," 6,299 "," 6,299 "," 14,614 ",9.46,"$0-$40K","51-75","within1km",69
"4","90004",67850,"23922","2.91",371100,27591,34.07668,-118.308976,"LOSANGELES"," 22,196 "," 4,646 "," 4,646 "," 4,646 "," 13,373 ",9.2,"$0-$40K","76-100","within1km",78
"5","90005",43014,"15905","2.8",392200,21998,34.058999,-118.312752,"LOSANGELES"," 37,518 "," 4,076 "," 4,076 "," 4,076 "," 11,004 ",7.55,"$0-$40K","101-125","within1km",108
"6","90006",62765,"19792","3.31",169000,20593,34.047977,-118.29082,"LOSANGELES"," 32,165 "," 4,469 "," 4,469 "," 4,469 "," 11,363 ",7.58,"$0-$40K","101-125","within1km",101
"7","90007",45021,"13548","3.07",172700,17644,34.028321,-118.28126,"LOSANGELES"," 16,238 "," 4,640 "," 4,640 "," 4,640 "," 11,420 ",7.56,"$0-$40K","101-125","within1km",104
"8","90008",30840,"14337","2.28",236000,30472,34.010666,-118.342797,"LOSANGELES"," 8,288 "," 5,986 "," 5,986 "," 5,986 "," 14,560 ",10.21,"$0-$40K","51-75","within1km",65
"9","90010",1943,"996","2.02",692700,32083,34.061603,-118.312405,"LOSANGELES"," 4,611 "," 4,178 "," 4,178 "," 4,178 "," 14,292 ",10.19,"$0-$40K","76-100","within1km",98
"10","90011",101214,"23721","4.65",140000,23851,34.008137,-118.258251,"LOSANGELES"," 23,246 "," 5,962 "," 5,962 "," 5,962 "," 13,670 ",8.77,"$0-$40K","76-100","within1km",83
"11","90012",30577,"8360","2.32",159500,20152,34.060732,-118.239742,"LOSANGELES"," 8,776 "," 3,887 "," 3,887 "," 3,887 "," 9,739 ",6.82,"$0-$40K","200+","within1km",216
