Name,Latitude,Longitude
2ND ST & MARKET ST,37.789255,-122.401225
STEUART ST & FRANCISCO ST,37.794463,-122.394607
COLUMBUS AVE & PACIFIC AVE,37.797055,-122.405669
LINCOLN WAY &  19TH AVE,37.765375,-122.477197
19TH AVE &  LINCOLN WAY,37.765375,-122.477197
19TH AVE &  HOLLOWAY,37.720976,-122.475107
19TH AVE &  HOLLOWAY AVE,37.721262,-122.475107
19TH AVENUE & HOLLOWAY ST,37.72119,-122.475096
19TH AVE &  LINCOLN WAY,37.765159,-122.47721
LINC. WAY &  19TH AVE,37.765375,-122.477404
LAGUNA HONDA BLVD & 19TH AVE,37.748202,-122.458721
MYRA WAY &  DALEWOOD,37.736692,-122.453943
MISSION ST & OCEAN AVENUE,37.723914,-122.435387
CALIFORNIA ST & POWELL ST,37.791943,-122.409271
POWELL ST & CALIFORNIA ST,37.792122,-122.409088
HYDE STREET TURNABLE OUT OB,37.805785,-122.42049
HYDE STREET TURNABLE IN IB,37.805785,-122.42049
TAYLOR STREET TURNABLE OUT OB,37.804544,-122.41517
TAYLOR STREET TURNABLE IN IB,37.804544,-122.41517
POWELL STREET TURNABLE OUT OB,37.78476,-122.407819
POWELL STREET TURNABLE IN IB,37.784778,-122.407613
REFERENCE & REFERENCE,37.794594,-122.411506
REFERENCE & REFERENCE,37.794585,-122.411551
POWELL ST & CALIFORNIA ST,37.792122,-122.409088
CALIFORNIA ST & POWELL ST,37.792023,-122.409283
HYDE STREET TURNABLE IN IB,37.805785,-122.42049
HYDE STREET TURNABLE OUT OB,37.806722,-122.420684
TAYLOR STREET TURNABLE IN IB,37.804544,-122.41517
TAYLOR STREET TURNABLE OUT OB,37.804544,-122.41517
POWELL STREET TURNABLE IN IB,37.784778,-122.407613
POWELL STREET TURNABLE OUT OB,37.78476,-122.407819
REFERENCE & REFERENCE,37.794594,-122.411483
REFERENCE & REFERENCE,37.794585,-122.411551
REFERENCE & REFERENCE,37.755387,-122.386786
REFERENCE & REFERENCE,37.755378,-122.386924
REFERENCE & REFERENCE,37.755396,-122.386729
REFERENCE & REFERENCE,37.755635,-122.383051
REFERENCE & REFERENCE,37.772889,-122.397866
MARKET ST & SPEAR ST,37.793731,-122.395685
MARKET ST & VAN NESS AVE,37.775029,-122.419252
MARKET ST & SPEAR ST,37.793651,-122.395628
REFERENCE & REFERENCE,37.772898,-122.397969
SOUTH VAN NESS AVE & 12TH ST,37.775082,-122.419137
DUBLIN ST & BRAZIL AVE,37.719308,-122.425802
DUBLIN ST & BRAZIL AVE,37.719371,-122.425767
MISSION ST & BRAZIL AVE,37.724654,-122.43494
MISSION ST & BRAZIL AVE,37.724583,-122.434757
DUBLIN ST & BRAZIL AVE,37.719362,-122.425779
DUBLIN ST & LAGRANDE AVE,37.719192,-122.425802
MARKET ST & BEALE ST,37.793027,-122.396591
MARKET ST & DRUMM ST,37.793188,-122.396385
MUNI METRO TNL & DRUMM ST,37.794221,-122.393736
SAN JOSE AVE & GENEVA AVE,37.720613,-122.446577
MUNI METRO TNL & DRUMM ST,37.794221,-122.393736
REFERENCE & REFERENCE,37.720908,-122.446806
REFERENCE & REFERENCE,37.720827,-122.446657
REFERENCE & REFERENCE,37.794525,-122.394618
REFERENCE & REFERENCE,37.794525,-122.394618
REFERENCE & REFERENCE,37.720613,-122.446577
REFERENCE & REFERENCE,37.82,-12.24
