stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1,,"WINDWARD AVE/MAIN ST",,  33.987966,-118.471525,,,0
10,,"WASHINGTON BLVD/WILSON AVE",,  33.984934,-118.457152,,,0
100,,"INGLEWOOD BLVD/BRAY ST",,  33.987933,-118.409723,,,0
101,,"INGLEWOOD BLVD/ALLIN ST",,  33.991368,-118.413050,,,0
102,,"INGLEWOOD BLVD/BRADDOCK DR",,  33.992849,-118.414537,,,0
103,,"INGLEWOOD BLVD/CULVER BLVD",,  33.994842,-118.417603,,,0
104,,"INGLEWOOD BLVD/COURTLEIGH DR",,  33.996178,-118.419633,,,0
105,,"LINCOLN BLVD/WASHINGTON BLVD",,  33.990842,-118.447982,,,0
106,,"LINCOLN BLVD/ZANJA ST",,  33.992330,-118.449283,,,0
107,,"LINCOLN BLVD/VENICE BLVD",,  33.994211,-118.452048,,,0
108,,"VENICE BLVD/GLYNDON AVE",,  33.995624,-118.449231,,,0
109,,"MESMER AVE/MAJOR ST",,  33.984318,-118.399248,,,0
11,,"WASHINGTON BLVD/OXFORD AVE",,  33.986364,-118.454940,,,0
110,,"GREEN VALLEY CIR/SEPULVEDA",,  33.983943,-118.393542,,,0
111,,"BRISTOL PKWY/GREEN VALLEY CIR",,  33.984068,-118.390382,,,0
112,,"BRISTOL PKWY/UPLANDER WY",,  33.985063,-118.387854,,,0
113,,"BRISTOL PKWY/HANNUM AVE",,  33.987023,-118.386654,,,0
114,,"HANNUM AVE/UPLANDER WY",,  33.987212,-118.384831,,,0
115,,"HANNUM AVE/BUCKINGHAM PKWY",,  33.987390,-118.382091,,,0
116,,"SLAUSON AVE/BUCKINGHAM PKWY",,  33.989135,-118.381523,,,0
117,,"SLAUSON AVE/HOLY CROSS CEMETERY",,  33.989029,-118.387320,,,0
118,,"HANNUM AVE/JOANNE PL",,  33.989524,-118.392631,,,0
119,,"PLAYA ST/HANNUM AVE",,  33.991073,-118.393651,,,0
12,,"WASHINGTON BLVD/ABBOT KINNEY",,  33.988363,-118.451664,,,0
120,,"PLAYA ST/PLAYA CT",,  33.992312,-118.391623,,,0
121,,"OVERLAND AVE/SAWTELLE BLVD",,  33.995253,-118.390247,,,0
122,,"OVERLAND AVE/RANCH RD",,  33.997407,-118.390236,,,0
123,,"OVERLAND AVE/FLAXTON ST",,  33.999023,-118.390331,,,0
124,,"OVERLAND AVE/FRESHMAN DR",,  34.001628,-118.390885,,,0
125,,"WEST LOS ANGELES COLLEGE",,  34.004308,-118.387019,,,0
126,,"OVERLAND AVE/JEFFERSON BLVD",,  34.004761,-118.393816,,,0
127,,"OVERLAND AVE/VIRGINIA AVE",,  34.006313,-118.395316,,,0
128,,"OVERLAND AVE/FARRAGUT DR",,  34.010838,-118.399489,,,0
129,,"OVERLAND AVE/BRADDOCK DR",,  34.011825,-118.400398,,,0
13,,"WASHINGTON BLVD/LINCOLN AVE",,  33.990498,-118.447441,,,0
130,,"OVERLAND AVE/CULVER BLVD",,  34.013656,-118.402156,,,0
131,,"MOTOR AVE/WASHINGTON BLVD",,  34.018951,-118.402676,,,0
132,,"MOTOR AVE/VENICE BLVD",,  34.020705,-118.403981,,,0
133,,"MOTOR AVE/REGENT ST",,  34.022683,-118.405521,,,0
134,,"MOTOR AVE/TABOR ST",,  34.024850,-118.407195,,,0
135,,"MOTOR AVE/PALMS BLVD",,  34.026341,-118.408344,,,0
136,,"MOTOR AVE/WOODBINE ST",,  34.027929,-118.409576,,,0
137,,"NATIONAL BLVD/MOTOR AVE",,  34.029131,-118.411014,,,0
138,,"NATIONAL BLVD/VALPARAISO ST",,  34.030584,-118.413548,,,0
139,,"NATIONAL PL/OVERLAND AVE",,  34.030802,-118.416830,,,0
14,,"WASHINGTON BLVD/GLENCOE AVE",,  33.991669,-118.445086,,,0
140,,"WESTWOOD BLVD/NATIONAL BLVD",,  34.030910,-118.421082,,,0
141,,"WESTWOOD BLVD/COVENTRY PL",,  34.033395,-118.423016,,,0
143,,"WESTWOOD BLVD/ASHBY AVE (EXPO)",,  34.037111,-118.425979,,,0
144,,"PICO BLVD/WESTWOOD BLVD",,  34.040286,-118.427836,,,0
145,,"PICO BLVD/OVERLAND AVE",,  34.041961,-118.424317,,,0
146,,"PICO BLVD/MANNING AVE",,  34.042799,-118.422906,,,0
147,,"PICO BLVD/PROSSER AVE",,  34.043875,-118.421085,,,0
148,,"BEVERLY GLEN BLVD/PICO BLVD",,  34.046718,-118.417309,,,0
149,,"BEVERLY GLEN BLVD/TENNESSEE AVE",,  34.048460,-118.418793,,,0
15,,"WASHINGTON BLVD/REDWOOD AVE",,  33.993047,-118.442363,,,0
150,,"BEVERLY GLEN BLVD/OLYMPIC BLVD",,  34.050279,-118.420324,,,0
1500,,"LIGHT RAIL STATION",,  34.027830,-118.387315,,,0
1501,,"OVERLAND AVE/LAWLER ST",,  34.025312,-118.411907,,,0
1502,,"OVERLAND AVE/ROSE AVE",,  34.027560,-118.413625,,,0
1503,,"OVERLAND AVE/PALMS ST",,  34.024723,-118.411415,,,0
1504,,"ROSE ST/OVERLAND AVE",,  34.027450,-118.413830,,,0
1505,,"OVERLAND AVE/NATIONAL BLVD",,  34.030602,-118.416288,,,0
1506,,"PALMS DR/MOTOR AVE",,  34.026255,-118.409069,,,0
151,,"CENTURY PARK WEST/OLYMPIC BLVD",,  34.053589,-118.416386,,,0
152,,"CENTURY CITY MALL",,  34.057547,-118.417371,,,0
153,,"CONSTELLATION/AVE OF THE STARS",,  34.058917,-118.415359,,,0
154,,"CONSTELLATION/CENTURY PARK E",,  34.060149,-118.413697,,,0
155,,"CENTURY PARK EAST/OLYMPIC BLVD",,  34.058749,-118.412439,,,0
156,,"BEVERLY GLEN BLVD/TENNESSEE AVE",,  34.048570,-118.419161,,,0
157,,"BEVERLY GLEN BLVD/PICO BLVD",,  34.046406,-118.417290,,,0
158,,"PICO BLVD/PATRICIA AVE",,  34.045444,-118.418789,,,0
159,,"PICO BLVD/PROSSER AVE",,  34.044167,-118.421062,,,0
16,,"WASHINGTON BLVD/BEETHOVEN ST",,  33.995275,-118.437880,,,0
160,,"PICO BLVD/MANNING AVE",,  34.043124,-118.422854,,,0
161,,"PICO BLVD/OVERLAND AVE",,  34.042112,-118.424629,,,0
162,,"WESTWOOD BLVD/PICO BLVD",,  34.039555,-118.428196,,,0
163,,"WESTWOOD BLVD/EXPOSITION BL (EXPO)",,  34.036190,-118.425458,,,0
165,,"WESTWOOD BLVD/COVENTRY PL",,  34.033402,-118.423310,,,0
166,,"NATIONAL BLVD/WESTWOOD BL",,  34.030649,-118.421170,,,0
167,,"NATIONAL BLVD/OVERLAND AVE",,  34.030776,-118.415666,,,0
168,,"NATIONAL BLVD/VALPARAISO ST",,  34.030371,-118.413533,,,0
169,,"NATIONAL BLVD/MOTOR AVE",,  34.029075,-118.410793,,,0
17,,"WASHINGTON BLVD/ROSABELL ST",,  33.996184,-118.436057,,,0
170,,"MOTOR AVE/WOODBINE ST",,  34.027736,-118.409678,,,0
171,,"MOTOR AVE/PALMS BLVD",,  34.026493,-118.408719,,,0
172,,"MOTOR AVE/TABOR ST",,  34.024952,-118.407532,,,0
173,,"MOTOR AVE/REGENT ST",,  34.022797,-118.405871,,,0
174,,"MOTOR AVE/VENICE BLVD",,  34.020655,-118.404231,,,0
175,,"MOTOR AVE/WASHINGTON BLVD",,  34.018721,-118.402707,,,0
176,,"OVERLAND AVE/WASHINGTON BLVD",,  34.016324,-118.405031,,,0
177,,"OVERLAND AVE/CULVER BLVD",,  34.013200,-118.402022,,,0
178,,"OVERLAND AVE/BRADDOCK DR",,  34.011540,-118.400462,,,0
179,,"OVERLAND AVE/FRANKLIN AVE",,  34.010332,-118.399305,,,0
18,,"WASHINGTON BLVD/MILDRED AVE",,  33.996656,-118.432026,,,0
180,,"OVERLAND AVE/CULVER CITY LIBRARY",,  34.008042,-118.397102,,,0
181,,"OVERLAND AVE/VIRGINIA AVE",,  34.005815,-118.395137,,,0
182,,"OVERLAND AVE/JEFFERSON BLVD",,  34.003336,-118.392849,,,0
183,,"FRESHMAN DR/OVERLAND AVE",,  34.001971,-118.391010,,,0
184,,"OVERLAND AVE/GALVIN ST",,  34.000062,-118.390766,,,0
185,,"OVERLAND AVE/KELMORE ST",,  33.997812,-118.390432,,,0
186,,"OVERLAND AVE/SAWTELLE BLVD",,  33.994897,-118.390495,,,0
187,,"PLAYA ST/RUDMAN DR",,  33.992529,-118.391742,,,0
