stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
A201,,"Pacific Coast Hwy & Normandie Ave",,  33.789827,-118.297835,,,0,
A202,,"Pacific Coast Hwy & Belle Porte Ave",,  33.789520,-118.301096,,,0,
A203,,"Pacific Coast Hwy & President Ave",,  33.789542,-118.304221,,,0,
A204,,"Western Ave & Pacific Coast Hwy",,  33.789539,-118.307457,,,0,
A205,,"Western Ave & 255th St",,  33.792587,-118.307498,,,0,
A206,,"Western Ave & 253rd St",,  33.794825,-118.307472,,,0,
A207,,"Western Ave & Lomita Bl",,  33.797545,-118.307498,,,0,
A208,,"Western Ave & 247th St",,  33.801318,-118.307421,,,0,
A209,,"Western Ave & 242nd Pl",,  33.804808,-118.307395,,,0,
A210,,"Western Ave & 238th St",,  33.808562,-118.307989,,,0,
A211,,"Western Ave & 237th St",,  33.810029,-118.308450,,,0,
A212,,"Western Ave & 235th St",,  33.812576,-118.308814,,,0,
A213,,"Western Ave & Sepulveda Bl",,  33.817375,-118.308802,,,0,
A214,,"Western Ave & 228th St",,  33.818877,-118.308803,,,0,
A215,,"Western Ave & Plaza del Amo",,  33.822504,-118.308843,,,0,
A216,,"Western Ave & 223rd St",,  33.824296,-118.308871,,,0,
A217,,"Western Ave & 220th St",,  33.827818,-118.308912,,,0,
A218,,"Western Ave & Carson St",,  33.831997,-118.308970,,,0,
A219,,"Western Ave & 213th St",,  33.835358,-118.309015,,,0,
A220,,"Western Ave & Torrance Bl",,  33.838909,-118.309166,,,0,
A221,,"Western Ave & 208th St",,  33.841959,-118.309183,,,0,
A222,,"Western Ave & 205th St",,  33.844607,-118.309213,,,0,
A223,,"Western Ave & Del Amo Bl",,  33.846530,-118.309230,,,0,
A224,,"Western Ave & Francisco St",,  33.849826,-118.309246,,,0,
A225,,"Western Ave & Toyota Way",,  33.854108,-118.309254,,,0,
A226,,"Western Ave & 190th St",,  33.858788,-118.309119,,,0,
A227,,"Western Ave & 186th St",,  33.862210,-118.309105,,,0,
A228,,"Western Ave & 182nd St",,  33.865442,-118.309112,,,0,
A229,,"Western Ave & 178th St",,  33.869486,-118.309104,,,0,
A230,,"Western Ave & Artesia Bl",,  33.873378,-118.309123,,,0,
A231,,"Western Ave & 169th St",,  33.877774,-118.309118,,,0,
A232,,"Western Ave & 166th St",,  33.879925,-118.309106,,,0,
A239,,"Western Ave & Marine Ave",,  33.894504,-118.309119,,,0,
A240,,"Western Ave & 149th St",,  33.896944,-118.309118,,,0,
