stop_id,stop_name,stop_lat,stop_lon
301,Redondo Beach Pier,33.838584,-118.390306
302,Catalina Ave. / Torrance Blvd.,33.838606,-118.387922
303,Catalina Ave. / Garnet St.,33.839875,-118.388023
304,Catalina Ave. / Emerald St.,33.842232,-118.388392
305,Catalina Ave. / Diamond St.,33.843383,-118.389019
306,Diamond St. / PCH,33.84515,-118.386914
307,Diamond St. / Sea Hawk Way,33.847434,-118.383926
308,Diamond St. / Lucia Ave.,33.849346,-118.381579
309,Prospect Ave. / Diamond St.,33.852141,-118.378936
310,Beryl St. / Prospect Ave.,33.854321,-118.381408
311,Beryl St. / Flagler Ln.,33.854801,-118.378869
312,190th St. / Beryl St.,33.85809,-118.374282
313,Rindge Ln. / 190th St.,33.858595,-118.372723
314,Rindge Ln. / Ripley Ave.,33.861636,-118.372641
315,Rindge Ln. / Pullman Ln.,33.864142,-118.372656
316,Rindge Ln. / Clark Ln.,33.866072,-118.372661
317,Rindge Ln. / Grant Ave.,33.868841,-118.372664
318,Rindge Ln. / Carnegie Ln.,33.870864,-118.372664
319,Artesia Blvd. / Rindge Ln.,33.872729,-118.372534
320,Artesia Blvd. / Mackay Ln.,33.872767,-118.368421
321,Artesia Blvd. / Felton Ln.,33.872741,-118.364473
322,Artesia Blvd. / Inglewood Ave.,33.872755,-118.36169
323,Artesia Blvd. / Kingsdale Ave.,33.872755,-118.356648
324,Hawthorne Blvd. / Artesia Blvd.,33.87228,-118.352839
325,Hawthorne Blvd. / Market Place Drive,33.868248,-118.352743
326,Hawthorne Blvd. / 182nd St.,33.865688,-118.35275
327,Artesia Blvd. / Firmona Ave.,33.872999,-118.35749
328,Artesia Blvd. / Inglewood Ave.,33.873023,-118.361059
329,Artesia Blvd. / Felton Ln.,33.872997,-118.364028
330,Artesia Blvd. / Mackay Ln.,33.872938,-118.368359
331,Vail Ave. / Artesia Blvd.,33.873282,-118.369888
332,Vail Ave. / Nelson Ave.,33.874913,-118.369889
333,Vail Ave. / Voorhees Ave.,33.876513,-118.369893
334,Vail Ave. / Gates Ave.,33.878347,-118.36988
335,Vail Ave. / Robinson St.,33.879969,-118.369904
336,Vail Ave. / May Ave.,33.882652,-118.369908
337,Vail Ave. / Pinckard Ave.,33.884427,-118.369898
338,Vail Ave. / Warfield Ave.,33.886455,-118.369858
339,Redondo Beach Ave. / Manhattan Beach Blvd.,33.888001,-118.370016
340,Redondo Beach Ave. / Santa Fe Ave.,33.889413,-118.370004
341,Redondo Beach Ave. / Space Park Drive,33.891612,-118.370008
401,Redondo Beach Green Line Station,33.89507,-118.36983
402,Redondo Beach Ave. / Marine Ave.,33.894202,-118.370301
403,Redondo Beach Ave. / Space Park Dr.,33.891408,-118.37019
404,Redondo Beach Ave. / Manhattan Beach Blvd.,33.887708,-118.370298
