stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,226001,"PLAZA DEL AMO",,33.829123,-118.346433,,,,,,1
10,203037,"TORRANCE BL + MADRID AV",,33.836277,-118.325235,,,,,,1
100,006003,"AIRPORT DR + ZAMPERINI WY",,33.799913,-118.341585,,,,,,1
102,592025,"CRENSHAW BL + PACIFIC COAST HWY AIRPORT DR",,33.793000,-118.331728,,,,,,1
103,592027,"CRENSHAW BL + SKYPARK DR",,33.801923,-118.327917,,,,,,1
104,592029,"CRENSHAW BL + LOMITA BL",,33.806195,-118.327837,,,,,,1
105,592031,"CRENSHAW BL + 237TH ST",,33.810253,-118.327917,,,,,,1
106,592033,"CRENSHAW BL + 235TH ST",,33.813153,-118.327937,,,,,,1
107,592035,"CRENSHAW BL + 229TH ST",,33.818458,-118.327917,,,,,,1
108,592037,"CRENSHAW BL + SEPULVEDA BL",,33.822302,-118.328313,,,,,,1
109,592039,"CRENSHAW BL + PARK DEL AMO SCROC",,33.824817,-118.328393,,,,,,1
11,203039,"TORRANCE BL + COTA AV",,33.836297,-118.322332,,,,,,1
110,592041,"CRENSHAW BL + PLAZA DEL AMO",,33.826958,-118.328452,,,,,,1
111,592043,"CRENSHAW BL + MONTEREY ST",,33.829327,-118.328493,,,,,,1
112,592045,"CRENSHAW BL + CARSON ST",,33.831793,-118.328493,,,,,,1
113,592047,"CRENSHAW BL + EL DORADO ST",,33.834342,-118.328532,,,,,,1
114,592049,"CRENSHAW BL + TORRANCE BL",,33.836833,-118.328573,,,,,,1
115,592051,"CRENSHAW BL + MARICOPA ST",,33.839237,-118.328573,,,,,,1
116,592053,"CRENSHAW BL + 208TH ST",,33.844060,-118.328632,,,,,,1
117,592055,"CRENSHAW BL + DEL AMO BL",,33.847172,-118.328652,,,,,,1
118,592057,"CRENSHAW BL + 190TH ST",,33.858910,-118.327440,,,,,,1
119,592059,"CRENSHAW BL + 186TH ST",,33.861505,-118.326327,,,,,,1
12,203041,"TORRANCE BL + ARLINGTON AV",,33.836317,-118.319910,,,,,,1
120,592061,"CRENSHAW BL + 182ND ST",,33.865980,-118.326327,,,,,,1
121,592063,"CRENSHAW BL + 178TH ST",,33.869560,-118.326327,,,,,,1
122,592065,"CRENSHAW BL + ARTESIA BL",,33.873275,-118.326347,,,,,,1
123,592067,"CRENSHAW BL + 171ST ST",,33.875043,-118.326367,,,,,,1
124,592069,"CRENSHAW BL + 168TH ST",,33.877710,-118.326367,,,,,,1
125,592071,"CRENSHAW BL + 166TH ST CHERRY AV",,33.879907,-118.326367,,,,,,1
126,592073,"CRENSHAW BL + REDONDO BEACH BL",,33.883408,-118.326427,,,,,,1
127,592075,"CRENSHAW BL + EL CAMINO COLLEGE",,33.885473,-118.326427,,,,,,1
128,592077,"CRENSHAW BL + MANHATTAN BEACH BL",,33.887000,-118.326383,,,,,,1
129,592079,"CRENSHAW BL + 154TH ST",,33.891292,-118.326427,,,,,,1
13,203043,"TORRANCE BL + ENGRACIA AV",,33.836237,-118.318300,,,,,,1
130,592081,"CRENSHAW BL + MARINE AV",,33.894450,-118.326427,,,,,,1
131,592083,"CRENSHAW BL + 147TH ST",,33.898627,-118.326407,,,,,,1
132,592085,"CRENSHAW BL + ROSECRANS AV",,33.901730,-118.326407,,,,,,1
133,592087,"CRENSHAW BL + 139TH ST",,33.905818,-118.326427,,,,,,1
