stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
98,198,2ND ST & MARKET ST, ,37.789255,-122.401225, , 
100,1100,STEUART ST & FRANCISCO ST, ,37.794463,-122.394607, , 
202,1202,COLUMBUS AVE & PACIFIC AVE, ,37.797055,-122.405669, , 
210,1210,LINCOLN WAY &  19TH AVE, ,37.765375,-122.477197, , 
383,1383,19TH AVE &  LINCOLN WAY, ,37.765375,-122.477197, , 
385,1385,19TH AVE &  HOLLOWAY, ,37.720976,-122.475107, , 
389,1389,19TH AVE &  HOLLOWAY AVE, ,37.721262,-122.475107, , 
390,1390,19TH AVENUE & HOLLOWAY ST, ,37.72119,-122.475096, , 
392,1392,19TH AVE &  LINCOLN WAY, ,37.765159,-122.47721, , 
402,1402,LINC. WAY &  19TH AVE, ,37.765375,-122.477404, , 
491,1491,LAGUNA HONDA BLVD & 19TH AVE, ,37.748202,-122.458721, , 
493,1493,MYRA WAY &  DALEWOOD, ,37.736692,-122.453943, , 
660,1660,MISSION ST & OCEAN AVENUE, ,37.723914,-122.435387, , 
739,1739,CALIFORNIA ST & POWELL ST, ,37.791943,-122.409271, , 
740,1740,POWELL ST & CALIFORNIA ST, ,37.792122,-122.409088, , 
741,1741,HYDE STREET TURNABLE OUT OB, ,37.805785,-122.42049, , 
742,1742,HYDE STREET TURNABLE IN IB, ,37.805785,-122.42049, , 
743,1743,TAYLOR STREET TURNABLE OUT OB, ,37.804544,-122.41517, , 
744,1744,TAYLOR STREET TURNABLE IN IB, ,37.804544,-122.41517, , 
745,1745,POWELL STREET TURNABLE OUT OB, ,37.78476,-122.407819, , 
746,1746,POWELL STREET TURNABLE IN IB, ,37.784778,-122.407613, , 
747,1747,REFERENCE & REFERENCE, ,37.794594,-122.411506, , 
748,1748,REFERENCE & REFERENCE, ,37.794585,-122.411551, , 
749,1749,POWELL ST & CALIFORNIA ST, ,37.792122,-122.409088, , 
750,1750,CALIFORNIA ST & POWELL ST, ,37.792023,-122.409283, , 
751,1751,HYDE STREET TURNABLE IN IB, ,37.805785,-122.42049, , 
752,1752,HYDE STREET TURNABLE OUT OB, ,37.806722,-122.420684, , 
753,1753,TAYLOR STREET TURNABLE IN IB, ,37.804544,-122.41517, , 
754,1754,TAYLOR STREET TURNABLE OUT OB, ,37.804544,-122.41517, , 
755,1755,POWELL STREET TURNABLE IN IB, ,37.784778,-122.407613, , 
756,1756,POWELL STREET TURNABLE OUT OB, ,37.78476,-122.407819, , 
757,1757,REFERENCE & REFERENCE, ,37.794594,-122.411483, , 
758,1758,REFERENCE & REFERENCE, ,37.794585,-122.411551, , 
789,1789,REFERENCE & REFERENCE, ,37.755387,-122.386786, , 
790,1790,REFERENCE & REFERENCE, ,37.755378,-122.386924, , 
791,1791,REFERENCE & REFERENCE, ,37.755396,-122.386729, , 
792,1792,REFERENCE & REFERENCE, ,37.755635,-122.383051, , 
824,1824,REFERENCE & REFERENCE, ,37.772889,-122.397866, , 
827,1827,MARKET ST & SPEAR ST, ,37.793731,-122.395685, , 
840,1840,MARKET ST & VAN NESS AVE, ,37.775029,-122.419252, , 
841,1841,MARKET ST & SPEAR ST, ,37.793651,-122.395628, , 
844,1844,REFERENCE & REFERENCE, ,37.772898,-122.397969, , 
865,1865,SOUTH VAN NESS AVE & 12TH ST, ,37.775082,-122.419137, , 
904,1904,DUBLIN ST & BRAZIL AVE, ,37.719308,-122.425802, , 
905,1905,DUBLIN ST & BRAZIL AVE, ,37.719371,-122.425767, , 
906,1906,MISSION ST & BRAZIL AVE, ,37.724654,-122.43494, , 
911,1911,MISSION ST & BRAZIL AVE, ,37.724583,-122.434757, , 
912,1912,DUBLIN ST & BRAZIL AVE, ,37.719362,-122.425779, , 
913,1913,DUBLIN ST & LAGRANDE AVE, ,37.719192,-122.425802, , 
923,1923,MARKET ST & BEALE ST, ,37.793027,-122.396591, , 
943,1943,MARKET ST & DRUMM ST, ,37.793188,-122.396385, , 
1005,11005,MUNI METRO TNL & DRUMM ST, ,37.794221,-122.393736, , 
1015,11015,SAN JOSE AVE & GENEVA AVE, ,37.720613,-122.446577, , 
1025,11025,MUNI METRO TNL & DRUMM ST, ,37.794221,-122.393736, , 
1028,11028,REFERENCE & REFERENCE, ,37.720908,-122.446806, , 
1029,11029,REFERENCE & REFERENCE, ,37.720827,-122.446657, , 
1030,11030,REFERENCE & REFERENCE, ,37.794525,-122.394618, , 
1031,11031,REFERENCE & REFERENCE, ,37.794525,-122.394618, , 
1032,11032,REFERENCE & REFERENCE, ,37.720613,-122.446577, , 
1033,11033,REFERENCE & REFERENCE, ,37.82,-12.24, , 
1034,11034,REFERENCE & REFERENCE, ,37.82,-12.24, , 
1035,11035,REFERENCE & REFERENCE, ,37.82,-12.24, , 
1036,11036,REFERENCE & REFERENCE, ,37.82,-12.24, , 
1037,11037,REFERENCE & REFERENCE, ,37.82,-12.24, , 
